0 1 Equal 25bits Equal 33bits Equal 1bits 
2 Equal 24bits Equal 33bits Equal 1bits 
3 Equal 23bits Equal 33bits Equal 0bits 
4 Equal 23bits Equal 33bits Not-Equal 0bits 
5 Equal 22bits Equal 33bits Not-Equal 0bits 
6 Equal 23bits Equal 33bits Not-Equal 0bits 
7 Equal 22bits Equal 33bits Not-Equal 0bits 
8 Equal 22bits Equal 33bits Not-Equal 0bits 
9 Equal 22bits Equal 33bits Not-Equal 0bits 
10 Equal 22bits Equal 33bits Not-Equal 0bits 
11 Equal 22bits Equal 33bits Not-Equal 0bits 
12 Equal 22bits Equal 33bits Not-Equal 0bits 
13 Equal 21bits Equal 33bits Not-Equal 0bits 
14 Equal 22bits Equal 33bits Not-Equal 0bits 
15 Equal 22bits Equal 33bits Not-Equal 0bits 
16 Equal 21bits Equal 33bits Not-Equal 0bits 
17 Equal 21bits Equal 33bits Not-Equal 0bits 
18 Equal 21bits Equal 34bits Not-Equal 0bits 
19 Equal 20bits Equal 33bits Not-Equal 0bits 
20 Equal 21bits Equal 33bits Not-Equal 0bits 
21 Equal 21bits Equal 33bits Not-Equal 0bits 
22 Equal 21bits Equal 33bits Not-Equal 0bits 
23 Equal 20bits Equal 33bits Not-Equal 0bits 
24 Equal 21bits Equal 33bits Not-Equal 0bits 
25 Equal 21bits Equal 33bits Not-Equal 0bits 
26 Equal 21bits Equal 33bits Not-Equal 0bits 
27 Equal 21bits Equal 33bits Not-Equal 0bits 
28 Equal 21bits Equal 33bits Not-Equal 0bits 
29 Equal 21bits Equal 33bits Not-Equal 0bits 
30 Equal 21bits Equal 33bits Not-Equal 0bits 
31 Equal 21bits Equal 33bits Not-Equal 0bits 
32 Equal 20bits Equal 33bits Not-Equal 0bits 
33 Equal 20bits Equal 33bits Not-Equal 0bits 
34 Equal 20bits Equal 33bits Not-Equal 0bits 
35 Equal 20bits Equal 33bits Not-Equal 0bits 
36 Equal 19bits Equal 33bits Not-Equal 0bits 
37 Equal 20bits Equal 33bits Not-Equal 0bits 
38 Equal 20bits Equal 33bits Not-Equal 0bits 
39 Equal 19bits Equal 33bits Not-Equal 0bits 
40 Equal 19bits Equal 33bits Not-Equal 0bits 
41 Equal 19bits Equal 33bits Not-Equal 0bits 
42 Equal 19bits Equal 33bits Not-Equal 0bits 
43 Equal 20bits Equal 33bits Not-Equal 0bits 
44 Equal 19bits Equal 33bits Not-Equal 0bits 
45 Equal 19bits Equal 33bits Not-Equal 0bits 
46 Equal 20bits Equal 33bits Not-Equal 0bits 
47 Equal 20bits Equal 33bits Not-Equal 0bits 
48 Equal 19bits Equal 33bits Not-Equal 0bits 
49 Equal 19bits Equal 33bits Not-Equal 0bits 
50 Equal 19bits Equal 33bits Not-Equal 0bits 
51 Equal 19bits Equal 33bits Not-Equal 0bits 
52 Equal 20bits Equal 33bits Not-Equal 0bits 
53 Equal 20bits Equal 33bits Not-Equal 0bits 
54 Equal 20bits Equal 33bits Not-Equal 0bits 
55 Equal 19bits Equal 33bits Not-Equal 0bits 
56 Equal 19bits Equal 33bits Not-Equal 0bits 
57 Equal 20bits Equal 33bits Not-Equal 0bits 
58 Equal 19bits Equal 33bits Not-Equal 0bits 
59 Equal 20bits Equal 33bits Not-Equal 0bits 
60 Equal 20bits Equal 33bits Not-Equal 0bits 
61 Equal 20bits Equal 33bits Not-Equal 0bits 
62 Equal 19bits Equal 33bits Not-Equal 0bits 
63 Equal 19bits Equal 33bits Not-Equal 0bits 
64 Equal 19bits Equal 33bits Not-Equal 0bits 
65 Equal 18bits Equal 33bits Not-Equal 0bits 
66 Equal 19bits Equal 33bits Not-Equal 0bits 
67 Equal 19bits Equal 33bits Not-Equal 0bits 
68 Equal 19bits Equal 33bits Not-Equal 0bits 
69 Equal 19bits Equal 34bits Not-Equal 0bits 
70 Equal 19bits Equal 33bits Not-Equal 0bits 
71 Equal 19bits Equal 33bits Not-Equal 0bits 
72 Equal 18bits Equal 33bits Not-Equal 0bits 
73 Equal 19bits Equal 33bits Not-Equal 0bits 
74 Equal 19bits Equal 33bits Not-Equal 0bits 
75 Equal 19bits Equal 33bits Not-Equal 0bits 
76 Equal 18bits Equal 33bits Not-Equal 0bits 
77 Equal 19bits Equal 33bits Not-Equal 0bits 
78 Equal 19bits Equal 33bits Not-Equal 0bits 
79 Equal 19bits Equal 33bits Not-Equal 0bits 
80 Equal 19bits Equal 33bits Not-Equal 0bits 
81 Equal 19bits Equal 33bits Not-Equal 0bits 
82 Equal 19bits Equal 33bits Not-Equal 0bits 
83 Equal 19bits Equal 33bits Not-Equal 0bits 
84 Equal 19bits Equal 33bits Not-Equal 0bits 
85 Equal 19bits Equal 33bits Not-Equal 0bits 
86 Equal 18bits Equal 33bits Not-Equal 0bits 
87 Equal 19bits Equal 33bits Not-Equal 0bits 
88 Equal 19bits Equal 33bits Not-Equal 0bits 
89 Equal 18bits Equal 33bits Not-Equal 0bits 
90 Equal 19bits Equal 33bits Not-Equal 0bits 
91 Equal 19bits Equal 33bits Not-Equal 0bits 
92 Equal 18bits Equal 33bits Not-Equal 0bits 
93 Equal 19bits Equal 33bits Not-Equal 0bits 
94 Equal 19bits Equal 33bits Not-Equal 0bits 
95 Equal 18bits Equal 33bits Not-Equal 0bits 
96 Equal 19bits Equal 33bits Not-Equal 0bits 
97 Equal 18bits Equal 33bits Not-Equal 0bits 
98 Equal 19bits Equal 33bits Not-Equal 0bits 
99 Equal 19bits Equal 33bits Not-Equal 0bits 
